ID,First_Name,Last_Name,Full_Name,Gender,donor_type,Constituent_Type_2,Class_Year,Parent_Year,Primary_Manager,Rating,Prospect_Stage,region,Professional_Background,Interest_Keywords,Lifetime_Giving,Last_Gift,Last_Gift_Date,largest_gift,gift_count,giving_years,avg_gift_amount,Engagement_Score,event_count,contact_count,gave_in_12mo_flag,gave_in_24mo_flag,recently_engaged_flag,days_since_last_gift,years_inactive,giving_momentum,giving_momentum_pct,capacity_score,affinity_score,timing_score,prospect_intelligence_score,Will_Give_Again_Probability,why_surfaced
285289,Jonathan,Anderson,Jonathan Anderson,M,Friend,,,,,N,Cultivation,Midwest,Consulting,"Arts, Environment",449.67,167.8,2023-12-21,195.04,1.379009387048808,1.379009387048808,-0.0308929078256092,28.0,1.0,1.0,1,1,1,-0.1004983565275087,-0.3461139456489224,46.48248130338485,100.0,67.88938,61.024119999999996,96.92034,72.744279,0.6340018,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, recently engaged, attended 1 event(s), 1 contact report(s)."
432486,Jonathan,Martin,Jonathan Martin,M,Foundation,,,,,N,Identification,Southeast,Legal,"Faculty Development, Healthcare, Education",7495.14,1967.65,2024-01-23,2178.7,0.997735093429379,0.997735093429379,-0.0308905154699221,48.7,1.0,0.0,1,1,1,-0.0068478950653547,0.0870629183682118,46.24060712453743,99.9992,80.01527999999999,73.10392,96.48640999999999,81.7140865,0.928354,"Surfaced due to high capacity, strong engagement/affinity, strong timing signal, high giving momentum, gave in the last 12 months, recently engaged, attended 1 event(s)."
223352,Gary,White,Gary White,M,Parent,Friend,,2001.0,,P,Identification,Northeast,Energy,Global Programs,203.04,73.68,2020-07-01,25.0,2.777015130320048,2.777015130320048,-0.0309031777901218,48.0,0.0,0.0,1,1,0,0.0770181898261263,1.6031819424281817,45.99873294569,99.9984,66.15236,53.13597,80.731915,65.24151225,0.87793696,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months."
157621,Virginia,Gomez,Virginia Gomez,F,Alum,,1991.0,,,M,Identification,Southwest,Healthcare,"Research, Athletics",153.62,60.2,2021-02-24,25.0,3.920838011178336,3.920838011178336,-0.0309058425174232,35.0,1.0,0.0,1,1,0,0.1441110577393112,-0.3461139456489224,45.64522453045145,99.99759999999999,66.906425,51.76762,80.73175499999999,65.06417575,0.87774813,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, attended 1 event(s)."
429722,Janet,Miller,Janet Miller,F,Friend,,,,,L,Identification,Mountain West,Energy,Global Programs,31025.62,11437.99,2020-05-25,6880.09,1.6331922494617608,1.6331922494617608,-0.0308977580211719,50.1,0.0,0.0,1,1,1,-0.1200671096688543,0.0870629183682118,45.62661882438626,99.9974,87.1977,64.30181999999999,97.595765,81.78365825,0.79340476,"Surfaced due to high capacity, strong timing signal, high giving momentum, gave in the last 12 months, recently engaged."
434849,Christine,Jackson,Christine Jackson,F,Alum,,2024.0,2025.0,,M,Cultivation,Midwest,Manufacturing,"Faculty Development, Infrastructure",1102.47,305.68,2016-03-20,0.0,3.79374657997186,3.79374657997186,-0.0309056970223673,38.1,0.0,1.0,1,1,1,-0.2095242668864342,-0.1295255136403552,45.19868758488697,99.9964,63.45604000000001,65.74892,97.595385,72.79338425,0.00038958047,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, recently engaged, 1 contact report(s)."
285239,Christopher,Moore,Christopher Moore,M,Friend,,,,,G,Cultivation,West Coast,Non-Profit,Education,821.81,185.31,2020-02-04,188.69,1.1248265246358553,1.1248265246358553,-0.0308929481401549,41.1,0.0,1.0,1,1,0,0.1608842747176075,-0.1295255136403552,44.99402481816992,99.9959,68.94421,58.33397,80.731415,68.17742725,0.85971344,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, 1 contact report(s)."
148116,Jacob,Smith,Jacob Smith,M,Friend,,,,,N,Qualification,West Coast,Finance,"Arts, Education, Faculty Development",41954.35,15301.7,2020-01-01,9717.05,0.997735093429379,0.997735093429379,-0.0308911311829835,46.2,0.0,1.0,1,1,1,-0.1018961246090334,3.552477830505285,44.97541911210473,99.9956,87.63782,72.19067,96.48505999999999,84.4431275,0.79298073,"Surfaced due to high capacity, strong engagement/affinity, strong timing signal, high giving momentum, gave in the last 12 months, recently engaged, 1 contact report(s)."
122595,Linda,Johnson,Linda Johnson,F,Parent,,,2025.0,,L,Solicitation,Southeast,Retired,Infrastructure,0.0,0.0,,0.0,2.395740836700619,2.395740836700619,-0.0309020917809368,29.0,0.0,1.0,1,1,1,0.0141186261575154,2.2529472384538827,44.93820769997436,99.9954,49.5489,52.92327,96.48493,62.463937,0.000389465,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, recently engaged, 1 contact report(s)."
341903,Victoria,Lee,Victoria Lee,F,Alum,Friend,2025.0,,,M,Identification,Midwest,Retail,"Faculty Development, Environment",609.19,46.91,2015-11-19,0.0,3.79374657997186,3.79374657997186,-0.0309058177504186,34.1,0.0,1.0,1,1,0,0.2349659830384158,-0.1295255136403552,44.4544593422795,99.99430000000001,61.913520000000005,51.140969999999996,80.731095,62.84752125,0.00038930887,"Surfaced due to strong timing signal, high giving momentum, gave in the last 12 months, 1 contact report(s)."
